dist,payoff,exact,analytical_mean,analytical_err,N,M,noise_std,length_scale,F_sq,cond_XtX,n_eff_eigvals,min_phase_gap
pareto,ordinary_deductible,0.486,0.6524022220055259,0.1664022220055259,8,2,0.001,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,franchise_deductible,1.485,3.0668306863316266,1.5818306863316265,8,2,0.001,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,policy_limit,1.4750000000538668,3.9610945785039897,2.486094578450123,8,2,0.001,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,deductible_with_limit,0.4811111111370867,0.6487341078880422,0.1676229967509555,8,2,0.001,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
pareto,stop_loss,0.486,0.6524022220055259,0.1664022220055259,8,2,0.001,0.5,1.2936266763793238,4.308604660489701,2,0.623253165773413
lognormal,ordinary_deductible,0.8579739047504147,0.705299245811349,0.15267465893906573,8,2,0.001,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,franchise_deductible,1.3569725786927767,1.1833312306172772,0.17364134807549947,8,2,0.001,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,policy_limit,1.4655262805158773,1.8432087510347703,0.37768247051889303,8,2,0.001,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,deductible_with_limit,0.7484181837430338,0.569954808866913,0.17846337487612085,8,2,0.001,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
lognormal,stop_loss,0.8579739047504147,0.705299245811349,0.15267465893906573,8,2,0.001,0.5,0.5895087560320703,4.83645970116032,2,0.6573265125770698
gamma,ordinary_deductible,1.0943071914960318,1.4691690329631935,0.3748618414671616,8,2,0.001,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,franchise_deductible,1.829066071877044,2.148045320080429,0.3189792482033851,8,2,0.001,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,policy_limit,1.9478343710072936,2.0893545206712942,0.14152014966400062,8,2,0.001,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,deductible_with_limit,1.0788083093197212,1.460728967919466,0.3819206585997448,8,2,0.001,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
gamma,stop_loss,1.0943071914960318,1.4691690329631935,0.3748618414671616,8,2,0.001,0.5,1.8228285679478557,6.164122300536739,2,0.7208311198358299
weibull,ordinary_deductible,0.9256128274064236,1.3878558147669326,0.46224298736050906,8,2,0.001,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,franchise_deductible,1.6268013317246828,2.1607174766112847,0.5339161448866019,8,2,0.001,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,policy_limit,1.7853605191923019,2.1127304417761175,0.3273699225838156,8,2,0.001,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,deductible_with_limit,0.9234985804117545,1.3842361051695995,0.460737524757845,8,2,0.001,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
weibull,stop_loss,0.9256128274064236,1.3878558147669326,0.46224298736050906,8,2,0.001,0.5,2.276349206733901,5.5530686190458205,2,0.6947994723895908
pareto,ordinary_deductible,0.486,0.6524023243758923,0.1664023243758923,8,2,0.001,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,franchise_deductible,1.485,3.066830060201094,1.5818300602010937,8,2,0.001,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,policy_limit,1.4750000000538668,3.9610933617979964,2.4860933617441296,8,2,0.001,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,deductible_with_limit,0.4811111111370867,0.6487342026236195,0.16762309148653276,8,2,0.001,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
pareto,stop_loss,0.486,0.6524023243758923,0.1664023243758923,8,2,0.001,1.0,2.3939518506004633,4.170660890770038,2,0.6132022497220561
lognormal,ordinary_deductible,0.8579739047504147,0.7053007203738946,0.1526731843765201,8,2,0.001,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,franchise_deductible,1.3569725786927767,1.1833328731578852,0.1736397055348915,8,2,0.001,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,policy_limit,1.4655262805158773,1.843208081116946,0.3776818006010687,8,2,0.001,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,deductible_with_limit,0.7484181837430338,0.5699556472153897,0.1784625365276441,8,2,0.001,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
lognormal,stop_loss,0.8579739047504147,0.7053007203738946,0.1526731843765201,8,2,0.001,1.0,1.1635230452078698,4.808566041293665,2,0.655680939877105
gamma,ordinary_deductible,1.0943071914960318,1.4691707272359489,0.37486353573991704,8,2,0.001,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,franchise_deductible,1.829066071877044,2.1480471340301874,0.3189810621531435,8,2,0.001,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
gamma,policy_limit,1.9478343710072936,2.0893559876166696,0.141521616609376,8,2,0.001,1.0,3.408837506607112,6.113859614989434,2,0.7188586634763146
