dist,payoff,exact,q_mean,abs_err,pct_err,N,M,tau,noise_std,length_scale,shots,time_s
pareto,ordinary_deductible,0.486,0.6912134577859943,0.2052134577859943,42.2249913139906,32,8,4,0.001,3.0,32768,0.7598193000012543
pareto,franchise_deductible,1.485,2.9893201503365123,1.5043201503365122,101.30102022468095,32,8,4,0.001,3.0,32768,0.7738488999966648
pareto,policy_limit,1.4750000000538668,3.1493462293302845,1.6743462292764177,113.51499859086583,32,8,4,0.001,3.0,32768,0.7462718999995559
pareto,deductible_with_limit,0.4811111111370867,0.687042898366212,0.2059317872291253,42.8033737866527,32,8,4,0.001,3.0,32768,0.7397262999984378
pareto,stop_loss,0.486,0.6912134577859943,0.2052134577859943,42.2249913139906,32,8,4,0.001,3.0,32768,0.7536854999998468
lognormal,ordinary_deductible,0.8579739047504147,0.8821436519129904,0.024169747162575694,2.817072527352297,32,8,4,0.001,3.0,32768,0.7319333999985247
lognormal,franchise_deductible,1.3569725786927767,1.5295365516530983,0.17256397296032167,12.716835673021418,32,8,4,0.001,3.0,32768,0.7416293999995105
lognormal,policy_limit,1.4655262805158773,1.7148361776300027,0.24930989711412543,17.01162923031079,32,8,4,0.001,3.0,32768,0.7611099000023387
lognormal,deductible_with_limit,0.7484181837430338,0.7953606946133442,0.04694251087031043,6.272230136838569,32,8,4,0.001,3.0,32768,0.7480839000018022
lognormal,stop_loss,0.8579739047504147,0.8821436519129904,0.024169747162575694,2.817072527352297,32,8,4,0.001,3.0,32768,0.8106819000022369
gamma,ordinary_deductible,1.0943071914960318,1.42225704327431,0.3279498517782782,29.96871941688847,32,8,4,0.001,3.0,32768,0.7611985000003187
gamma,franchise_deductible,1.829066071877044,2.381264231784574,0.5521981599075301,30.190170185642735,32,8,4,0.001,3.0,32768,0.7221897999988869
gamma,policy_limit,1.9478343710072936,2.4734325173144636,0.5255981463071699,26.983718643149558,32,8,4,0.001,3.0,32768,0.7390759000008984
gamma,deductible_with_limit,1.0788083093197212,1.413582608334371,0.33477429901464983,31.031861371716076,32,8,4,0.001,3.0,32768,0.7323055000015302
gamma,stop_loss,1.0943071914960318,1.42225704327431,0.3279498517782782,29.96871941688847,32,8,4,0.001,3.0,32768,0.7412832000009075
weibull,ordinary_deductible,0.9256128274064236,1.1769521642322813,0.25133933682585774,27.1538303471996,32,8,4,0.001,3.0,32768,0.738869100001466
weibull,franchise_deductible,1.6268013317246828,1.9896850867352989,0.3628837550106161,22.306580891835043,32,8,4,0.001,3.0,32768,0.7783396999984689
weibull,policy_limit,1.7853605191923019,2.0620666082682555,0.2767060890759536,15.498611406571017,32,8,4,0.001,3.0,32768,0.7342241000005743
weibull,deductible_with_limit,0.9234985804117545,1.1740320535981004,0.2505334731863459,27.12873397971463,32,8,4,0.001,3.0,32768,0.7284073000009812
weibull,stop_loss,0.9256128274064236,1.1769521642322813,0.25133933682585774,27.1538303471996,32,8,4,0.001,3.0,32768,0.7444825999991735
pareto,ordinary_deductible,0.486,0.6855785654670867,0.19957856546708674,41.06554845001785,32,8,4,0.001,3.0,65536,0.8721441999987292
