quantum_N,quantum_M,quantum_noise_std,quantum_length_scale,n_eigenvalue_qubits,shots,mean_abs_err,max_abs_err
32,6,0.001,1.0,8,65536,0.036074754930044015,0.16540490876647618
32,6,0.001,2.0,8,65536,0.036478837083852314,0.16884760854752878
32,6,0.001,1.0,6,65536,0.04068871711027725,0.16902316350956959
32,6,0.001,1.0,7,65536,0.04742088408454108,0.19706618413275723
32,6,0.001,2.0,8,32768,0.04947896683498003,0.24857316411159736
32,6,0.01,1.0,8,65536,0.05160608051075127,0.22363099664885988
32,6,0.01,2.0,8,65536,0.05204993555685829,0.21458485966090812
32,6,0.001,2.0,7,65536,0.05366465191927723,0.1599195484818572
32,6,0.001,1.0,5,65536,0.055760411754226344,0.14783588315173413
32,6,0.01,1.0,6,65536,0.05855842030512679,0.20240015637265918
32,6,0.01,1.0,7,65536,0.0643749376418578,0.23147467879908312
32,6,0.001,2.0,7,32768,0.06624098913865836,0.2533726993382379
32,6,0.001,0.5,7,65536,0.06750810663467421,0.3878439014295776
32,6,0.01,2.0,8,32768,0.06869955579372543,0.2879800281776528
32,6,0.001,0.5,8,65536,0.06991214719671228,0.4535139473163152
32,6,0.01,2.0,7,65536,0.07051447370937955,0.23131043933951578
32,6,0.01,1.0,5,65536,0.0714319043496415,0.17772818895524423
32,8,0.001,3.0,8,65536,0.0717486222873693,0.16808462482664321
32,6,0.001,3.0,8,65536,0.07287298799801162,0.22105359924072765
32,6,0.001,1.0,4,65536,0.077460347500682,0.27239726895802363
32,6,0.001,2.0,6,65536,0.08099108313106518,0.22507058197199026
32,6,0.001,3.0,8,32768,0.08574247802348671,0.26204686020703405
32,6,0.001,0.5,6,65536,0.08595369908990658,0.46530527124504073
32,6,0.01,0.5,7,65536,0.08975689806226847,0.38768460565472274
32,6,0.01,2.0,7,32768,0.09156674422661548,0.31683164943114406
32,6,0.001,1.0,8,32768,0.09503834871709942,0.3768150432572859
32,6,0.001,0.5,5,65536,0.09513921926726063,0.45132896635367326
32,6,0.01,0.5,8,65536,0.09542403790330836,0.45338303647166134
32,6,0.001,0.5,4,65536,0.09750269816882356,0.4503899736748562
32,8,0.001,3.0,8,32768,0.0979652931540741,0.25696781578433225
32,6,0.01,2.0,6,65536,0.10069439598521279,0.257728231499154
32,6,0.001,1.0,6,32768,0.10183131034006761,0.4941187262582567
32,6,0.01,1.0,4,65536,0.10408861293709126,0.3089933152344899
32,6,0.001,1.0,7,32768,0.10584688498616501,0.3719385469764913
32,6,0.001,2.0,6,32768,0.11019720299239529,0.3715949733538493
32,6,0.001,0.5,8,32768,0.11112486450264718,0.5362554698107456
32,6,0.001,0.5,7,32768,0.11172642956183634,0.5151993941150042
32,6,0.01,0.5,4,65536,0.111881402658135,0.4621232854024022
32,6,0.01,1.0,8,32768,0.11204904729596829,0.40954599691629157
32,6,0.01,0.5,6,65536,0.11209487381449983,0.4651667629181102
32,6,0.001,1.0,5,32768,0.11968782176582597,0.5155140407324545
32,6,0.01,0.5,5,65536,0.1198414560470489,0.4953042051185905
32,6,0.001,2.0,5,65536,0.12029471879084716,0.29935763718155295
32,6,0.01,1.0,6,32768,0.12135732848176133,0.5192684758060457
